player_id,name,country,apifootball_id,confidence,n_rows
1,Rayan Aït-Nouri,Algeria,21138,high,29
2,Ramy Bensebaini,Algeria,2194,high,24
3,Aïssa Mandi,Algeria,1567,high,24
5,Zinéddine Belaïd,Algeria,4561,high,16
7,Rafik Belghali,Algeria,303362,high,9
8,Achref Abada,Algeria,342740,high,10
9,Mohammed Amoura,Algeria,200139,high,22
10,Amine Gouiri,Algeria,85041,high,24
11,Riyad Mahrez,Algeria,635,high,23
12,Ibrahim Maza,Algeria,380587,high,21
13,Anis Hadj Moussa,Algeria,326067,high,17
14,Farès Ghedjemis,Algeria,334915,high,10
15,Ahmed Benbouali,Algeria,292924,high,13
18,Luca Zidane,Algeria,732,high,7
19,Melvin Mastil,Algeria,304229,high,2
21,Adil Boulbina,Algeria,329163,high,14
22,Yacine Titraoui,Algeria,327599,high,12
23,Ramiz Zerrouki,Algeria,129047,high,27
24,Hicham Boudaoui,Algeria,4399,high,21
26,Houssem Aouar,Algeria,658,high,19
27,Farès Chaïbi,Algeria,276670,high,21
2046,Oussama Benbot,Algeria,4414,high,12
2047,Samir Chergui,Algeria,20869,high,9
2048,Mohamed Tougaï,Algeria,4569,high,25
2049,Nabil Bentaleb,Algeria,409,high,17
2066,Jaouen Hadjam,Algeria,271539,high,24
28,Cristian Romero,Argentina,30776,high,20
30,Nahuel Molina,Argentina,6503,high,24
31,Nicolás Otamendi,Argentina,624,high,29
34,Nicolás Tagliafico,Argentina,529,high,20
38,Lionel Messi,Argentina,154,high,21
39,Julián Alvarez,Argentina,6009,high,31
41,Giuliano Simeone,Argentina,323935,high,12
42,Nico González,Argentina,26315,high,25
43,José Manuel López,Argentina,295513,high,20
45,Emiliano Martínez,Argentina,19599,high,22
46,Gerónimo Rulli,Argentina,47296,high,17
47,Juan Musso,Argentina,2465,high,14
48,Leandro Paredes,Argentina,271,high,22
50,Rodrigo De Paul,Argentina,2472,high,22
51,Nico Paz,Argentina,350037,high,15
53,Valentín Barco,Argentina,319572,high,15
54,Exequiel Palacios,Argentina,6002,high,20
55,Thiago Almada,Argentina,6067,high,23
56,Alexis Mac Allister,Argentina,6716,high,24
57,Enzo Fernández,Argentina,5996,high,29
1318,Lisandro Martínez,Argentina,2467,high,22
1320,Facundo Medina,Argentina,6231,high,18
1323,Gonzalo Montiel,Argentina,2468,high,21
1325,Leonardo Balerdi,Argentina,6,high,15
1326,Giovani Lo Celso,Argentina,1578,high,19
1338,Lautaro Martínez,Argentina,217,high,27
58,Jordan Bos,Australia,337587,high,17
60,Alessandro Circati,Australia,348568,high,10
61,Cameron Burgess,Australia,20457,high,17
62,Milos Degenek,Australia,2742,high,19
63,Aziz Behich,Australia,225,high,19
64,Jason Geria,Australia,33847,high,7
66,Kai Trewin,Australia,153622,high,14
67,Lucas Herrington,Australia,426480,high,6
68,Nestory Irankunda,Australia,338014,high,11
70,Nishan Velupillay,Australia,312459,high,11
72,Jacob Italiano,Australia,6808,high,8
74,Mathew Ryan,Australia,2741,high,19
75,Paul Izzo,Australia,6870,high,7
76,Patrick Beach,Australia,353883,high,6
77,Paul Okon,Australia,441269,high,7
80,Connor Metcalfe,Australia,6904,high,15
81,Aiden O'Neill,Australia,7050,high,11
82,Awer Mabil,Australia,2755,high,17
83,Ajdin Hrustic,Australia,38123,high,12
2002,Harry Souttar,Australia,20079,high,13
2003,Cameron Devlin,Australia,6832,high,18
2004,Jackson Irvine,Australia,2749,high,16
2005,Mathew Leckie,Australia,2751,high,14
2006,Mohamed Touré,Australia,198352,high,12
2007,Tete Yengi,Australia,296645,high,15
2050,Cristian Volpato,Australia,342035,high,15
85,David Alaba,Austria,505,high,23
86,Philipp Lienhart,Austria,26240,high,19
87,Alexander Prass,Austria,7327,high,23
88,Kevin Danso,Austria,25287,high,27
90,Stefan Posch,Austria,711,high,24
91,Phillipp Mwene,Austria,25915,high,19
92,Marco Friedl,Austria,25314,high,11
93,David Affengruber,Austria,126640,high,16
94,Michael Svoboda,Austria,7090,high,7
95,Marko Arnautovic,Austria,18830,high,20
96,Michael Gregoritsch,Austria,25297,high,19
97,Sasa Kalajdzic,Austria,7722,high,13
98,Alexander Schlager,Austria,7525,high,18
99,Patrick Pentz,Austria,7598,high,14
101,Florian Wiegele,Austria,221605,high,7
102,Carney Chukwuemeka,Austria,138935,high,18
103,Konrad Laimer,Austria,1157,high,26
104,Alessandro Schöpf,Austria,417,high,16
105,Florian Grillitsch,Austria,719,high,19
106,Nicolas Seiwald,Austria,7328,high,23
107,Marcel Sabitzer,Austria,1159,high,29
108,Romano Schmid,Austria,7562,high,18
109,Patrick Wimmer,Austria,126642,high,16
110,Paul Wanner,Austria,327895,high,19
111,Xaver Schlager,Austria,1095,high,18
114,Maxim De Cuyper,Belgium,162007,high,15
115,Timothy Castagne,Belgium,2920,high,22
116,Arthur Theate,Belgium,204043,high,21
117,Thomas Meunier,Belgium,264,high,23
118,Zeno Debast,Belgium,304228,high,24
119,Axel Witsel,Belgium,20,high,20
120,Koni De Winter,Belgium,162141,high,16
121,Brandon Mechele,Belgium,69,high,14
122,Joaquin Seys,Belgium,375974,high,13
123,Nathan Ngoy,Belgium,312964,high,10
124,Romelu Lukaku,Belgium,907,high,23
125,Jérémy Doku,Belgium,1422,high,25
127,Dodi Lukébakio,Belgium,25458,high,17
128,Alexis Saelemaekers,Belgium,1417,high,19
129,Charles De Ketelaere,Belgium,147859,high,26
132,Senne Lammens,Belgium,162511,high,13
135,Nicolas Raskin,Belgium,2120,high,21
136,Amadou Onana,Belgium,162714,high,23
137,Youri Tielemans,Belgium,2926,high,24
138,Kevin De Bruyne,Belgium,629,high,22
1522,Thibaut Courtois,Belgium,730,high,24
1523,Mike Penders,Belgium,340151,high,13
1524,Hans Vanaken,Belgium,78,high,17
1525,Matias Fernandez-Pardo,Belgium,340077,high,13
1526,Leandro Trossard,Belgium,1946,high,32
1527,Diego Moreira,Belgium,335056,high,19
139,Sead Kolasinac,Bosnia and Herzegovina,1442,high,21
140,Amar Dedic,Bosnia and Herzegovina,7318,high,26
141,Tarik Muharemovic,Bosnia and Herzegovina,271350,high,13
142,Nikola Katic,Bosnia and Herzegovina,1741,high,15
143,Stjepan Radeljic,Bosnia and Herzegovina,14301,high,17
144,Nihad Mujakic,Bosnia and Herzegovina,76867,high,17
145,Nidal Celik,Bosnia and Herzegovina,395589,high,10
146,Ermedin Demirovic,Bosnia and Herzegovina,46930,high,21
147,Edin Dzeko,Bosnia and Herzegovina,790,high,22
148,Jovo Lukic,Bosnia and Herzegovina,77037,high,11
149,Haris Tabakovic,Bosnia and Herzegovina,28382,high,22
150,Esmir Bajraktarevic,Bosnia and Herzegovina,329409,high,22
151,Samed Bazdar,Bosnia and Herzegovina,314377,high,17
152,Kerim Alajbegovic,Bosnia and Herzegovina,395559,high,13
153,Nikola Vasilj,Bosnia and Herzegovina,9026,high,14
155,Martin Zlomislic,Bosnia and Herzegovina,108370,high,12
156,Amar Memic,Bosnia and Herzegovina,322101,high,13
157,Dzenis Burnic,Bosnia and Herzegovina,25129,high,12
