country,team_id,season,season_start_year,played,wins,draws,losses,goals_for,goals_against,clean_sheets,goal_diff,points
Algeria,1532,2022/23,2022,20,14,4,2,45,11,12,34,46
Algeria,1532,2023/24,2023,23,15,6,2,44,17,8,27,51
Algeria,1532,2024/25,2024,10,4,6,0,19,8,5,11,18
Algeria,1532,2025/26,2025,19,14,3,2,42,12,11,30,45
Argentina,26,2022/23,2022,30,21,8,1,64,16,19,48,71
Argentina,26,2023/24,2023,4,4,0,0,13,0,4,13,12
Argentina,26,2024/25,2024,10,9,1,0,20,3,7,17,28
Argentina,26,2025/26,2025,3,3,0,0,9,0,3,9,9
Australia,20,2022/23,2022,27,18,4,5,54,19,15,35,58
Australia,20,2023/24,2023,12,6,2,4,19,11,5,8,20
Australia,20,2024/25,2024,1,1,0,0,2,0,1,2,3
Australia,20,2025/26,2025,6,3,0,3,6,7,2,-1,9
Austria,775,2022/23,2022,9,3,2,4,11,12,3,-1,11
Austria,775,2023/24,2023,10,7,2,1,20,8,4,12,23
Austria,775,2024/25,2024,24,14,5,5,55,21,7,34,47
Belgium,1,2022/23,2022,12,5,3,4,18,14,4,4,18
Belgium,1,2023/24,2023,10,8,2,0,26,6,6,20,26
Belgium,1,2024/25,2024,24,10,7,7,48,23,10,25,37
Bosnia and Herzegovina,1113,2022/23,2022,8,4,2,2,9,9,3,0,14
Bosnia and Herzegovina,1113,2023/24,2023,11,3,0,8,10,22,2,-12,9
Bosnia and Herzegovina,1113,2024/25,2024,18,5,6,7,23,30,4,-7,21
Bosnia and Herzegovina,1113,2025/26,2025,2,1,0,1,5,3,0,2,3
Brazil,6,2022/23,2022,26,21,4,1,62,10,17,52,67
Brazil,6,2023/24,2023,3,1,0,2,7,7,0,0,3
Brazil,6,2024/25,2024,8,3,5,0,13,8,3,5,14
Brazil,6,2025/26,2025,4,2,1,1,10,4,2,6,7
Cabo Verde,1533,2022/23,2022,9,6,2,1,18,7,3,11,20
Cabo Verde,1533,2023/24,2023,24,13,6,5,34,24,14,10,45
